 ,Full Name,Gender,Date of Birth,RPP,ERPP,Parliament Name,D I P S,E O P T,Political Party Name
415,Hon. Wavel Ramkalawan ,M,15.03.61 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
416,Hon. Charles de Commarmond,M,04/04/1959,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
417,Hon. Jean Francois Ferrari,M,27.02.60 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
418,Hon. Bernard George,M,24.08.55 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
419,Hon. Gervais Henrie,M,12.01.72 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
420,Hon. John Hoareau,M,31.01.69 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
421,Hon. Wavel Woodcock,M,06.03.82 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
422,Hon. Stephen Pillay,M,20.03.64 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
423,Hon. Sandy Arissol,M,08.05.77 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
424,Hon. Francois Adelaide,M,28.05.74 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
425,Hon. Clive Roucou,M,16.06.75 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
426,Hon. Clifford Andre,M,01.07.70 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
427,Hon. Norbert Loizeau,M,13.07.69 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
428,Hon. Regina Esparon,F,09.08.65 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
429,Hon. Phillip Arissol,M,19.09.64 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
430,Hon. Terence Mondon,M,16.10.67 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
431,Hon. Jany Letourdi,F,21.10.61 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
432,Hon. Flory Larue,F,24.10.78 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,Linyon Demokratik Seselwa (LDS)
433,Hon. Simon Gill,M,16.05.61 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
434,Hon. Sebastien Pillay,M,26.01.78 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
435,Hon. Wilbert Herminie,M,29.01.82 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
436,Hon. Churchill Gill,M,18.02.65 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
437,Hon. Jude Valmont,M,26.02.86 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
438,Hon. Paul Ernesta,M,05.03.76 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
439,Hon. Chantal Ghislain,F,11.03.69 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
440,Hon. Noline Sophola,F,18.04.58 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
441,Hon. Audrey Vidot,F,28.04.87 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
442,Hon. Egbert Aglae,M,18.05.80 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
443,Hon. Waven William,M,27.06.62 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
444,Hon. Sylvanne Lemiel,F,03.08.72 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
445,Hon. Johan Loze,M,05.12.71 00:00,No,,National Assembly of Seychelles,27.09.16 00:00,26.09.21 00:00,United Seychelles (US)
446,Selfe. Mr. James,M,23.08.55 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
447,Magwanishe. Mr. Gratitude Bulelani,M,20.01.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
448,Dlulane. Ms. Beauty Nomvuzo,F,23.11.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
449,Swart. Mr. Steven Nicholas,M,08.02.59 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ACDP
450,Holomisa. Major General Bantubonke Harrington,M,25.07.55 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,UDM
451,Koornhof. Doctor Gerhardus Willem,M,03.07.52 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
452,Meshoe. Reverend Kenneth Raselabe. Joseph,M,18.01.54 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ACDP
453,Newhoudt-Druchen. Ms. Wilma Susan,F,29.10.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
454,Krumbock. Mr. Gregory Rudy,M,17.07.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
455,Waters. Mr. Michael,M,30.06.67 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
456,Ntuli. Ms. Makhoni Maria,F,10.06.53 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
457,Van Der Walt. Ms. Desiree,F,20.04.56 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
458,Buthelezi. Prince Mangosuthu,M,27.08.28 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
459,Tsenoli. Mr. Solomon Lechesa,M,10.02.55 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
460,Marais. Mr. Sarel Jacobus Francois,M,26.06.59 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
461,Singh. Mr. Narend,M,05.09.54 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
462,Hoosen. Mr. Mohammed Haniff,M,22.03.72 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
463,George. Doctor Dion Travers,M,26.05.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
464,Tongwane (Gasebonwe). Ms. Tshoganetso Mpho Adolphina,F,08.08.67 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
465,Mc Gluwa. Mr. Joseph Job,M,23.08.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
466,Dunjwa. Ms. Mary-Ann Lindelwa,F,15.12.49 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
467,Cebekhulu. Inkosi Russel Nsikayezwe,M,23.03.58 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
468,De Freitas. Mr. Manuel Simao Franca,M,28.10.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,NA
469,Gungubele. Mr. Mondli,M,01.02.57 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
470,Kopane. Ms. Semakaleng Patricia,F,23.07.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
471,Lorimer. Mr. James Robert Bourne,M,19.02.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
472,Lotriet. Doctor Annelie,F,08.06.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
473,Madisha. Mr. William Mothipa,M,07.08.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,COPE
474,Makhubela-Mashele. Ms. Lusizo Sharon,F,16.08.78 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
475,Mandela. Mr. Zwelivelile Mandlesizwe Dalibhunga,M,21.06.74 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
476,Manganye. Ms. Jane,F,20.11.53 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
477,Marais. Mr. Erik Johannes,M,08.09.61 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
478,Mazzone (Michael). Ms. Natasha Wendy Anita,F,09.05.79 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
479,Mjobo. Ms. Lindiwe Ntombikayise,F,07.12.71 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
480,Motshekga. Doctor Mathole Serofo,M,02.04.49 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
481,Msimang. Professor Christian Themba,M,25.10.44 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
482,Muthambi. Ms. Azwihangwisi Faith,F,19.02.74 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
483,Steyn. Ms. Annette,F,02.06.69 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
484,Tseke. Mrs. Grace Kekulu,F,02.02.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
485,Xaba-Ntshaba. Ms. Phindisile Pretty,F,20.01.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
486,Boroto. Ms. Mmatlala Grace,F,04.07.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
487,Dikgale. Ms. Masefako Clarah,F,23.03.64 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
488,Faber. Mr. Willem Frederik,M,15.02.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
489,Mabe. Ms. Bertha Peace,F,18.09.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
490,Mlenzana. Mr. Zola,M,06.05.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
491,Lees. Mr. Robert Alfred,M,25.10.52 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
492,Dlakude. Ms. Dorries Eunice,F,16.08.69 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
493,Sithole. Mr. Khethamabala Petros,M,08.04.58 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
494,Lekota. Mr. Mosiuoa Gerard Patrick,M,13.08.48 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,COPE
495,Steenhuisen. Mr. John Henry,M,25.03.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
496,Hill-Lewis. Mr. Geordin Gwyn,M,31.12.86 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
497,Gondwe. Doctor Mimmy Martha,F,07.02.77 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
498,Sibiya. Ms. Duduzile Patricia,F,01.07.57 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
499,Tshabalala. Ms. Judith,F,30.03.82 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
500,Joseph. Mr. Dennis,M,02.09.58 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
501,Pilane-Majake. Doctor Makgathatso Charlotte Chana,F,13.02.57 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
502,Lesoma. Ms. Regina Mina Mpontseng,F,30.12.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
503,Hlengwa. Mr. Mkhuleko,M,12.06.87 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
504,Van der Merwe. Ms. Liezl Linda,F,05.10.80 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
505,Mileham. Mr. Kevin John,M,23.04.71 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
506,Thring. Reverend Wayne Maxim,M,01.02.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ACDP
507,Kwankwa. Mr. Nqabayomzi Lawrence Saziso,M,23.08.80 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,UDM
508,Malatsi. Mr. Mmoba Solomon,M,22.12.85 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
509,Horn. Mr. Werner,M,12.05.70 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
510,Cardo. Doctor Michael John,M,28.06.77 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
511,Bagraim. Mr. Michael,M,09.10.56 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
512,Whitfield. Mr. Andrew Grant,M,24.11.82 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
513,Xego. Ms. Shiella Tembalam,F,01.08.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
514,Majola. Mr. Thembekile Richard,M,12.06.72 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
515,Bongo. Advocate Bongani Thomas,M,29.06.78 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
516,Gardee. Mr. Godrich Ahmed,M,10.06.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
517,Basson. Mr. Leonard Jones,M,08.04.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
518,Khawula. Ms. Makoti Sibongile,F,07.12.54 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
519,Van Dyk. Ms. Veronica,F,01.01.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
520,Ntshayisa. Mr. Lulama Maxwell,M,23.08.58 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,AIC
521,Moteka. Mr. Pebane George,M,13.02.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
522,Mantashe. Ms. Priscilla Tozama,F,23.10.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
523,Mabika. Mr. Mandlenkosi Sicelo,M,28.09.71 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
524,Van Schalkwyk. Ms. Sharome Renay,F,22.10.75 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
525,Masango. Ms. Bridget Staff,F,23.02.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
526,Mente. Ms. Ntombovuyo Veronica,F,24.09.78 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
527,Mpambo-Sibhukwana. Ms. Tandi Gloria,F,08.12.65 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
528,Mokoena. Mr. Lehlohonolo,M,13.05.71 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
529,Bergman. Mr. Darren,M,18.10.77 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
530,Bilankulu. Ms. Nkhensani Kate,F,14.02.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
531,Breytenbach. Advocate Glynnis,F,09.08.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
532,Capa. Mr. Ndumiso,M,25.09.49 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
533,Dirks. Mr. Mervyn Alexander,M,17.01.64 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
534,Galo. Mr. Mandlenkosi Phillip,M,05.07.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,AIC
535,Hunsinger. Mr. Christian Hans,M,23.10.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
536,Kruger. Mr. Hendrik Christiaan,M,06.05.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
537,Ntlangwini (Louw). Ms. Elsabe Natasha,F,01.10.83 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
538,Luzipo. Mr. Sahlulele,M,04.07.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
539,Mackenzie. Mr. Cameron,M,12.08.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
540,Macpherson. Mr. Dean William,M,02.02.85 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
541,Mahambehlala. Ms. Tandi,F,16.01.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
542,Mma. Mr. Julius Sello,M,03.03.81 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
543,Maphatsoe. Mr. Emmanuel Ramaotoana Kebby,M,31.12.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
544,Maphatsoe. Mr. Emmanuel Ramaotoana Kebby,M,31.12.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
545,Mapulane. Mr. Mohlopi Phillemon,M,10.04.72 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
546,Mashabela. Ms. Ngwanamakwetle Reneiloe,F,25.03.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
547,Mkhaliphi. Ms. Hlengiwe Octavia,F,31.10.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
548,Mbhele. Mr. Zakhele Njabulo,M,09.11.84 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
549,Mhlongo. Mr. Tsepo Winson,M,22.12.72 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
550,Mulaudzi. Advocate Thilivhali Elphus,M,11.08.64 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
551,Ndaba. Ms. Claudia Nonhlanhla,F,30.07.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
552,Ndlozi. Mr. Mbuyiseni Quintin,M,09.05.85 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
553,Ntombela. Mr. Madala Louis David,M,17.06.56 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
554,Semenya. Ms. Machwene Rosina,F,16.11.69 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
555,Shaik Emam. Mr. Ahmed Munzoor,M,03.07.57 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,NFP
556,Shelembe. Mr. Maliyakhe Lymon,M,12.10.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
557,Shivambu. Mr. Nyiko Floyd,M,01.01.83 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
558,Siwela. Mr. Elvis Kholwana,M,14.12.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
559,Sonti. Ms. Nokulunga Primrose,F,01.10.61 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
560,Van Damme. Ms. Phumzile Thelma,F,20.07.83 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
561,Walters. Mr. Thomas,M,30.01.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
562,Wilson. Ms. Evelyn Rayne,F,06.03.61 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
563,Chetty. Mr. Mergan,M,17.01.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
564,Stock. Mr. Dikgang Mathews,M,03.02.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
565,Van Onselen. Ms. Belinda,F,17.12.45 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
566,Julius. Mr. Jacques Warren,M,04.06.72 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
567,Matiase. Mr. Nthako Sam,M,14.05.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
568,Tarabella-Marchesi. Ms. Nomsa Innocencia,F,02.07.70 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
569,Modise. Ms. Thandi Ruth,F,25.12.58 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
570,Dlamini. Mr. Marshall Mzingisi,M,13.08.77 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
571,Mokause. Ms. Mmabatho Olive,F,05.05.78 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
572,Maswanganyi. Mr. Mkhacani Joseph,M,14.04.66 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
573,Paulsen. Mr. Mogamad Nazier,M,02.01.67 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
574,Maluleke. Ms. Boitumelo,F,25.04.61 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
575,Zwane. Mr. Mosebenze Joseph,M,10.12.67 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
576,Terblanche. Major General Ockert Stefanus,M,10.07.52 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
577,Buthelezi. Mr. Norbert Sfiso,M,14.08.61 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
578,Tolashe. Ms. Nokuzola Gladys,F,21.12.59 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
579,Chabangu. Mr. Makosini Mishack,M,12.09.57 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
580,Ngwenya. Ms. Delisile Blessing,F,12.12.73 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
581,King. Ms. Chantel Valencia,F,02.12.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
582,Mbabama. Ms. Thandeka Moloko,F,12.09.56 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
583,Thembekwayo. Doctor Sophie Suzan,F,07.03.55 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
584,Adams. Mrs. Rachel Cecilia,F,09.08.63 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
585,Cachalia. Mr. Ghaleb Kaene Yusuf,M,12.11.56 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
586,Mpanza. Mr. Terence Skhumbuzo,M,04.10.64 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
587,Mbuyane. Mr. Simanga Happy,M,03.01.74 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
588,Ngwezi. Mr. Xolani,M,28.12.83 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
589,Wolmarans. Mr. Matthews Johannes,M,13.09.68 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
590,Skosana. Mr. Gijimani Jim,M,09.09.78 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
591,Buthelezi. Inkosi Elphas Mfakazeleni,M,16.02.77 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,IFP
592,Tshwaku. Mr. Mgcini,M,07.06.76 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
593,Khanyile. Miss Thembisile Angel,F,12.08.82 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,DA
594,Wessels. Mr. Wouter Wynand,M,18.03.85 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,FF PLUS
595,Nolutshungu. Mrs. Nontando Judith,F,13.09.59 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
596,Hlonyana. Mrs. Khonziwe Ntokozo Fortunate,F,26.01.81 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,EFF
597,Abraham-Ntantiso. Ms. Phoebe Noxolo,F,07.10.60 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
598,Seabi. Mr. Albert Mammoga,M,21.09.62 00:00,No,,NationaL Assembly of South Africa ,22.05.19 00:00,07.05.24 00:00,ANC
